coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,creator,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
3077805,https://mycoportal.org/fnl/mycology//FI1-001_lg.jpg,https://mycoportal.org/fnl/mycology//FI1-001_lg.jpg,https://mycoportal.org/fnl/mycology//FI1-001_tn.jpg,https://mycoportal.org/fnl/mycology//FI1-001.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:21a863a8-ed84-4a33-8eae-074ae6e827e4,"2016-11-22 01:05:34",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=3077805,StillImage,Photograph,en
3077806,https://mycoportal.org/fnl/mycology//FI1-002_lg.jpg,https://mycoportal.org/fnl/mycology//FI1-002_lg.jpg,https://mycoportal.org/fnl/mycology//FI1-002_tn.jpg,https://mycoportal.org/fnl/mycology//FI1-002.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:cbee27b7-c59d-4827-a3f2-9a6a5bb4f19f,"2016-11-22 01:06:26",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=3077806,StillImage,Photograph,en
3077807,https://mycoportal.org/fnl/mycology//FI1-003_lg.jpg,https://mycoportal.org/fnl/mycology//FI1-003_lg.jpg,https://mycoportal.org/fnl/mycology//FI1-003_tn.jpg,https://mycoportal.org/fnl/mycology//FI1-003.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:b0b2ba59-b295-487f-ac1f-c3ca2d67d4cc,"2016-11-22 01:08:52",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=3077807,StillImage,Photograph,en
3077810,https://mycoportal.org/fnl/mycology//FI1-006_lg.jpg,https://mycoportal.org/fnl/mycology//FI1-006_lg.jpg,https://mycoportal.org/fnl/mycology//FI1-006_tn.jpg,https://mycoportal.org/fnl/mycology//FI1-006.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:a8c0c70a-8b66-41e5-b326-fe2b16187010,"2016-11-22 01:05:18",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=3077810,StillImage,Photograph,en
3077811,https://mycoportal.org/fnl/mycology//FI1-007_lg.jpg,https://mycoportal.org/fnl/mycology//FI1-007_lg.jpg,https://mycoportal.org/fnl/mycology//FI1-007_tn.jpg,https://mycoportal.org/fnl/mycology//FI1-007.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:a2e51e00-f0f8-4f11-9cc2-f0fc765eb446,"2016-11-22 01:03:39",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=3077811,StillImage,Photograph,en
3077812,https://mycoportal.org/fnl/mycology//FI1-008_lg.jpg,https://mycoportal.org/fnl/mycology//FI1-008_lg.jpg,https://mycoportal.org/fnl/mycology//FI1-008_tn.jpg,https://mycoportal.org/fnl/mycology//FI1-008.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:58a367d5-175b-4094-90c3-9de83f788429,"2016-11-22 01:05:11",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=3077812,StillImage,Photograph,en
3077813,https://mycoportal.org/fnl/mycology//FI1-009_lg.jpg,https://mycoportal.org/fnl/mycology//FI1-009_lg.jpg,https://mycoportal.org/fnl/mycology//FI1-009_tn.jpg,https://mycoportal.org/fnl/mycology//FI1-009.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:d3835267-afd3-408e-990e-5c05ea8a5b37,"2016-11-22 01:03:48",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=3077813,StillImage,Photograph,en
3077814,https://mycoportal.org/fnl/mycology//FI1-010_lg.jpg,https://mycoportal.org/fnl/mycology//FI1-010_lg.jpg,https://mycoportal.org/fnl/mycology//FI1-010_tn.jpg,https://mycoportal.org/fnl/mycology//FI1-010.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:202b4251-7a08-4059-918f-96b1fe85528a,"2016-11-22 01:04:36",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=3077814,StillImage,Photograph,en
3077815,https://mycoportal.org/fnl/mycology//FI1-011_lg.jpg,https://mycoportal.org/fnl/mycology//FI1-011_lg.jpg,https://mycoportal.org/fnl/mycology//FI1-011_tn.jpg,https://mycoportal.org/fnl/mycology//FI1-011.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:b1a270fd-6ce5-4bf0-a562-42ab4a0806c2,"2016-11-22 01:02:16",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=3077815,StillImage,Photograph,en
3077817,https://mycoportal.org/fnl/mycology//FI1-085_lg.jpg,https://mycoportal.org/fnl/mycology//FI1-085_lg.jpg,https://mycoportal.org/fnl/mycology//FI1-085_tn.jpg,https://mycoportal.org/fnl/mycology//FI1-085.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:849fae2a-bc6d-4482-85e1-714d36523675,"2016-11-22 01:07:20",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=3077817,StillImage,Photograph,en
