Symbiota ID,institutionCode(Collection),CollectionCode,OwnerInstitutionCode,BasisOfRecord,OccurrenceID,CatalogNumber,OtherCatalogNumbers,HigherClassification,Kingdom,Phylum,Class,Order,Family,ScientificName,TaxonID,ScientificNameAuthorship,Genus,Subgenus,SpecificEpithet,VerbatimTaxonRank,InfraspecificEpithet,TaxonRank,IdentifiedBy,DateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references
3077805,FNL,,,PreservedSpecimen,,FI1-001,,Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Agaricales|Inocybaceae|Inocybe,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe soluta,251865,Velen.,Inocybe,,soluta,,,Species,RGT,,,,,,,RGT,,,9/5/2013,,2013,9,5,248,,5/13/2009,Photo number: 2442,Coniferous woods,Duff,,,,,,,,,,,,,,,,,,,,,,Canada,Newfoundland and Labrador,,,"Change Islands, Salt Pond",,0,,49.583333,-54.416667,WGS84,301,,titurri (2016-08-23 07:49:35),,georef batch tool 2016-08-23,reviewed - high confidence,,,,,,,,,,,2016-08-24 0:00,,62,3032814b-5234-4260-84b1-5d2885ec76aa,https://www.mycoportal.org/portal/collections/individual/index.php?occid=3077805
3077806,FNL,,,PreservedSpecimen,,FI1-002,,Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Agaricales|Strophariaceae,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Hebeloma,14843,(Fr.) P. Kumm.,Hebeloma,,,,,Genus,,,,,,,,Henry Mann,,,9/7/2013,,2013,9,7,250,,7/13/2009,Photo number: 2684,Mixed forest,Duff,,,,,,,,,,,,,,,,,,,,,,Canada,Newfoundland and Labrador,,,"Fogo Island, Lion's Den Trail",,0,,49.708187,-54.252747,,3427,,akuhn (2016-08-23 07:58:13),,georef batch tool 2016-08-23; GeoLocate,reviewed - high confidence,,,,,,,,,,,2016-08-24 0:00,,62,b5fdc281-dd01-483d-8db9-579e9b249636,https://www.mycoportal.org/portal/collections/individual/index.php?occid=3077806
3077807,FNL,,,PreservedSpecimen,,FI1-003,,Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Boletales|Gomphidiaceae|Gomphidius,Fungi,Basidiomycota,Agaricomycetes,Boletales,Gomphidiaceae,Gomphidius borealis,229485,"O.K. Mill., Aime & Peintner",Gomphidius,,borealis,,,Species,RLB,,,,,,,RLB,,,9/5/2013,,2013,9,5,248,,5/13/2009,Photo number: 2340,Mixed forest,Soil,,,,,,,,,,,,,,,,,,,,,,Canada,Newfoundland and Labrador,,,"Change Islands, wharf",,0,,49.583333,-54.416667,WGS84,301,,titurri (2016-08-23 07:49:35),,georef batch tool 2016-08-23,reviewed - high confidence,,,,,,,,,,,2016-08-24 0:00,,62,e2ffbc21-886a-4f06-997f-f599dfcb28b1,https://www.mycoportal.org/portal/collections/individual/index.php?occid=3077807
3077808,FNL,,,PreservedSpecimen,,FI1-004,,Fungi|Basidiomycota|Ustilaginomycotina|Exobasidiomycetes|Exobasidiomycetidae|Exobasidiales|Exobasidiaceae|Exobasidium,Fungi,Basidiomycota,Exobasidiomycetes,Exobasidiales,Exobasidiaceae,Exobasidium cassandrae,218609,Peck,Exobasidium,,cassandrae,,,Species,EO,,,,,,,EO,,,9/5/2013,,2013,9,5,248,,5/13/2009,Photo number: 2341,Bog,,,,,,,,,,,,,,,,,,,,,,,Canada,Newfoundland and Labrador,,,"Change Islands, Saltwater Pond Trail",,0,,49.583333,-54.416667,WGS84,301,,titurri (2016-08-23 07:49:35),,georef batch tool 2016-08-23,reviewed - high confidence,,,,,,,,,,,2016-08-24 0:00,,62,8f66f9c3-2442-45c4-8a03-8590a8030a41,https://www.mycoportal.org/portal/collections/individual/index.php?occid=3077808
3077809,FNL,,,PreservedSpecimen,,FI1-005,,Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Agaricales|Cortinariaceae|Cortinarius,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius stillatitius,156187,Fr.,Cortinarius,,stillatitius,,,Species,AV,,,,,,,AV,,,9/7/2013,,2013,9,7,250,,7/13/2009,Photo number: 2342,Mixed forest,Soil,,,,,,,,,,,,,,,,,,,,,,Canada,Newfoundland and Labrador,Division No. 8,Fogo Island,"Fogo Island, Payne's Trail",,0,,49.666667,-54.166667,WGS84,500,,titurri (2016-08-23 08:09:06),,georef batch tool 2016-08-23,reviewed - high confidence,,,,,,,,,,titurri,2016-08-23 0:00,,62,74a16b7f-ff46-42d3-a788-d3ad6ac852e2,https://www.mycoportal.org/portal/collections/individual/index.php?occid=3077809
3077810,FNL,,,PreservedSpecimen,,FI1-006,,Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Agaricales|Tricholomataceae,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Clitocybe,13195,(Fr.) Staude,Clitocybe,,,,,Genus,,,,,,,,RLB,,,9/5/2013,,2013,9,5,248,,5/13/2009,Photo number: 2292,coniferous wood,Soil,,,,,,,,,,,,,,,,,,,,,,Canada,Newfoundland and Labrador,,,"Change Islands, Indian Lookout Trail",,0,,49.583333,-54.416667,WGS84,301,,titurri (2016-08-23 07:49:35),,georef batch tool 2016-08-23,reviewed - high confidence,,,,,,,,,,,2016-08-24 0:00,, ,81ee7647-0686-40bf-8556-4be1042e69c8,https://www.mycoportal.org/portal/collections/individual/index.php?occid=3077810
3077811,FNL,,,PreservedSpecimen,,FI1-007,,Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Agaricales|Tricholomataceae|Arrhenia,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Arrhenia obatra,100666,"(J. Favre) Redhead, Lutzoni, Moncalvo & Vilgalys",Arrhenia,,obatra,,,Species,AV,,,,,,,Marian,,,9/7/2013,,2013,9,7,250,,7/13/2009,Photo number: 2738,"Field, meadow","Soil, sand",,,,,,,,,,,,,,,,,,,,,,Canada,Newfoundland and Labrador,,,"Fogo Island, Turpin's Trail",,0,,49.70419,-54.059113,,1792,,akuhn (2016-08-23 08:02:45),,georef batch tool 2016-08-23; GeoLocate,reviewed - high confidence,,,,,,,,,,,2016-08-24 0:00,,62,07d9f51f-369d-443e-a01c-3a8917159f6f,https://www.mycoportal.org/portal/collections/individual/index.php?occid=3077811
3077812,FNL,,,PreservedSpecimen,,FI1-008,,Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Agaricales|Tricholomataceae|Arrhenia,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Arrhenia obatra,100666,"(J. Favre) Redhead, Lutzoni, Moncalvo & Vilgalys",Arrhenia,,obatra,,,Species,AV,,,,,,,AV,,,9/7/2013,,2013,9,7,250,,7/13/2009,Photo number: 2546,"Heath barrens, roadside",Moss,,,,,,,,,,,,,,,,,,,,,,Canada,Newfoundland and Labrador,,,"Fogo Island, Payne's Trail",,0,,49.666667,-54.166667,WGS84,500,,titurri (2016-08-23 08:09:06),,georef batch tool 2016-08-23,reviewed - high confidence,,,,,,,,,,,2016-08-24 0:00,,62,08a5a769-11c1-4a6e-acf5-4cf4429b3348,https://www.mycoportal.org/portal/collections/individual/index.php?occid=3077812
3077813,FNL,,,PreservedSpecimen,,FI1-009,,Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Agaricales|Tricholomataceae|Arrhenia,Fungi,Basidiomycota,,,,Arrhenia griseopalida,,,,,,,,,EO,,,,,,,Erika Pittman,,,9/7/2013,,2013,9,7,250,,7/13/2009,Photo number: 2732,"Field, lawn, meadow",Moss,,,,,,,,,,,,,,,,,,,,,,Canada,Newfoundland and Labrador,,,"Fogo Island, Turpin's Trail",,0,,49.70419,-54.059113,,1792,,akuhn (2016-08-23 08:02:45),,georef batch tool 2016-08-23; GeoLocate,reviewed - high confidence,,,,,,,,,,,2016-08-24 0:00,,62,5c69b409-640a-422a-a07f-41b1fc22d63b,https://www.mycoportal.org/portal/collections/individual/index.php?occid=3077813
3077814,FNL,,,PreservedSpecimen,,FI1-010,,Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Agaricales|Tricholomataceae|Arrhenia,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Antrodia sitchensis,98571,(D.V. Baxter) Gilb. & Ryvarden,Antrodia,,sitchensis,,,Species,RGT,,,,,,,MB & RGT,,,9/3/2013,,2013,9,3,246,,3/13/2009,Portion sent to Greg Thorn; Photo number: 2241,Coniferous forest,"Wood, Dead, Rotten, black spruce",,,,,,,,,,,,,,,,,,,,,,Canada,Newfoundland and Labrador,,,Dildo Run Provincial Park,,0,,49.533365,-54.725845,,1362,,akuhn (2016-08-23 07:54:14),,georef batch tool 2016-08-23; GeoLocate,reviewed - high confidence,,,,,,,,,,,2016-08-24 0:00,,62,4ba07f41-108f-478f-bfb2-0a30de4af18b,https://www.mycoportal.org/portal/collections/individual/index.php?occid=3077814
